r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4
239,124,142,250,232,224,182,226,211,216,167,177
232,180,184,238,214,211,164,147,147,103,89,94
251,231,198,180,248,200,160,231,229,255,174,188
5,68,94,24,154,180,117,230,218,212,241,244
231,210,204,185,183,189,134,139,142,238,237,231
5,10,48,0,12,102,0,0,255,126,200,227
182,141,64,244,235,208,18,38,32,214,173,96
20,93,160,12,45,72,46,139,192,177,212,224
47,243,224,248,210,16,250,38,160,245,23,32
61,85,12,129,182,34,236,248,127,89,152,26
246,238,224,228,183,160,164,92,64,195,131,112
185,144,149,252,181,172,181,229,207,61,91,89
65,114,159,88,133,175,39,68,114,195,224,229
231,242,248,116,189,203,255,163,132,239,231,188
188,236,224,54,238,224,246,82,160,76,82,112
228,212,200,208,180,159,164,117,81,82,58,40
255,194,199,182,229,216,251,229,200,143,221,231
187,231,254,211,181,229,255,212,219,239,241,219
212,140,112,244,185,184,235,187,176,233,137,128
255,244,189,244,185,184,133,210,208,136,123,176
237,231,220,220,210,204,204,175,165,189,195,203
96,63,139,180,254,231,161,106,232,253,73,160
239,235,224,251,141,160,251,107,144,251,69,112
10,112,41,254,222,0,200,223,82,219,232,216
104,187,227,14,134,212,5,92,157,0,48,96
221,255,231,152,215,194,22,125,127,41,160,177
255,197,208,247,214,208,251,96,144,130,29,48
17,101,48,33,182,168,163,235,177,24,165,88
248,234,140,164,232,224,76,215,208,225,195,64
238,181,235,194,109,188,200,244,249,60,172,174
118,185,71,177,216,183,47,82,51,148,201,115
66,151,160,244,234,230,229,127,132,47,80,97
248,192,200,239,231,211,211,187,221,236,227,240
183,172,68,223,54,45,255,131,0,255,69,0
188,168,142,227,232,233,157,169,147,228,180,180
211,177,194,193,151,210,33,21,34,97,54,89
229,221,200,1,148,154,0,67,105,219,31,72
235,224,208,236,158,192,255,0,128,169,27,96
144,173,198,233,234,236,250,208,44,51,54,82
242,197,224,212,55,144,236,143,208,135,10,48
239,124,142,250,232,224,182,226,211,216,167,177
232,180,184,238,214,211,164,147,147,103,89,94
251,231,198,180,248,200,160,231,229,255,174,188
5,68,94,24,154,180,117,230,218,212,241,244
231,210,204,185,183,189,134,139,142,238,237,231
5,10,48,0,12,102,0,0,255,126,200,227
182,141,64,244,235,208,18,38,32,214,173,96
20,93,160,12,45,72,46,139,192,177,212,224
47,243,224,248,210,16,250,38,160,245,23,32
61,85,12,129,182,34,236,248,127,89,152,26
246,238,224,228,183,160,164,92,64,195,131,112
185,144,149,252,181,172,181,229,207,61,91,89
65,114,159,88,133,175,39,68,114,195,224,229
231,242,248,116,189,203,255,163,132,239,231,188
188,236,224,54,238,224,246,82,160,76,82,112
228,212,200,208,180,159,164,117,81,82,58,40
255,194,199,182,229,216,251,229,200,143,221,231
187,231,254,211,181,229,255,212,219,239,241,219
212,140,112,244,185,184,235,187,176,233,137,128
255,244,189,244,185,184,133,210,208,136,123,176
237,231,220,220,210,204,204,175,165,189,195,203
96,63,139,180,254,231,161,106,232,253,73,160
239,235,224,251,141,160,251,107,144,251,69,112
10,112,41,254,222,0,200,223,82,219,232,216
104,187,227,14,134,212,5,92,157,0,48,96
221,255,231,152,215,194,22,125,127,41,160,177
255,197,208,247,214,208,251,96,144,130,29,48
17,101,48,33,182,168,163,235,177,24,165,88
248,234,140,164,232,224,76,215,208,225,195,64
238,181,235,194,109,188,200,244,249,60,172,174
118,185,71,177,216,183,47,82,51,148,201,115
66,151,160,244,234,230,229,127,132,47,80,97
248,192,200,239,231,211,211,187,221,236,227,240
183,172,68,223,54,45,255,131,0,255,69,0
188,168,142,227,232,233,157,169,147,228,180,180
211,177,194,193,151,210,33,21,34,97,54,89
229,221,200,1,148,154,0,67,105,219,31,72
235,224,208,236,158,192,255,0,128,169,27,96
144,173,198,233,234,236,250,208,44,51,54,82
242,197,224,212,55,144,236,143,208,135,10,48
253,127,32,252,46,32,253,183,80,1,1,0
1,58,32,71,140,92,186,204,129,205,209,147
4,236,240,4,212,240,106,242,240,5,157,192
23,88,115,43,124,133,135,172,163,12,20,70
191,215,237,96,163,217,0,116,183,0,59,115
59,4,4,222,179,173,222,132,123,185,92,80
250,190,192,248,92,112,243,121,112,228,61,64
218,202,196,247,201,182,219,195,154,218,231,221
100,124,144,226,222,208,78,79,80,116,108,112
229,105,151,189,151,203,251,199,64,102,210,214
242,230,214,160,224,228,252,192,197,245,130,168
249,204,211,170,25,69,241,206,212,57,19,6
91,176,186,193,91,120,235,245,247,246,200,204
251,237,224,253,209,210,212,187,221,208,171,153
231,98,95,200,82,80,247,190,192,233,234,224
50,205,48,44,94,26,26,67,20,178,210,164
12,97,112,55,190,176,164,229,224,219,245,240
251,170,96,251,196,144,246,123,80,168,40,16
254,231,230,236,253,241,249,234,194,255,216,152
249,208,48,246,42,160,184,238,48,38,223,208
255,92,77,255,150,54,255,205,88,218,216,112
183,200,194,236,164,177,233,218,196,207,178,176
233,137,115,231,212,192,136,178,204,101,142,169
111,91,62,249,246,240,196,174,120,23,21,21
230,194,191,248,239,228,250,208,44,40,33,32
5,224,233,255,39,104,207,238,209,78,26,61
240,225,222,247,201,182,84,155,173,131,189,192
246,162,30,229,91,19,16,66,16,122,135,30
196,219,224,46,181,224,0,168,168,12,105,128
243,225,192,235,170,176,39,80,112,149,86,112
247,214,192,244,185,184,150,173,144,58,74,61
172,238,243,255,112,119,255,233,228,255,176,103
195,206,218,115,143,167,12,65,96,7,19,48
210,251,164,241,192,185,136,202,94,29,116,27
186,15,48,47,36,64,198,183,155,255,37,17
252,139,192,250,83,160,37,192,192,243,188,80
239,211,181,95,9,61,178,19,104,214,123,168
84,98,123,236,213,187,255,255,255,113,1,23
146,44,64,220,151,80,243,234,192,30,38,64
180,245,240,44,238,240,4,118,208,4,31,96
21,181,176,249,189,192,251,230,152,109,236,224
255,131,112,0,177,176,254,200,77,228,34,86
217,228,236,183,207,220,106,171,210,56,94,114
119,138,53,209,226,196,235,235,232,49,53,46
190,175,194,105,94,147,129,85,186,40,28,45
255,163,132,232,141,114,84,56,85,255,136,130
0,0,163,0,103,179,64,176,223,255,213,61
57,145,140,208,180,159,171,107,81,47,67,90
234,230,240,247,202,201,214,143,176,191,56,128
10,7,8,68,68,68,116,116,116,177,177,177
197,152,148,240,209,191,247,201,182,135,119,133
165,140,179,131,139,194,234,231,250,217,161,160
180,170,169,255,240,223,248,250,253,240,201,179
220,71,49,255,243,217,184,57,14,59,9,24
0,31,61,4,81,116,216,156,96,232,122,0
187,167,140,239,234,228,244,198,212,243,219,178
222,226,236,140,117,106,26,200,219,2,146,183
83,94,75,193,194,173,181,164,163,233,230,226
29,198,144,39,138,176,28,70,112,234,234,224
255,176,103,255,237,134,162,220,231,248,204,220
203,133,124,246,203,183,250,247,244,156,45,65
26,86,83,16,120,105,92,216,90,8,49,58
232,238,241,67,176,241,5,125,205,30,61,88
255,197,208,255,255,0,34,202,224,245,46,192
254,200,167,252,236,165,181,238,203,203,199,252
215,115,162,7,187,156,255,215,67,160,106,180
0,84,55,222,186,214,52,7,68,116,26,172
83,52,64,164,119,134,228,212,200,157,182,204
226,128,138,241,204,215,46,118,94,99,140,128
153,176,176,181,178,176,252,250,240,138,158,160
250,220,220,77,76,96,214,145,160,196,95,144
13,105,139,242,241,232,5,5,51,227,66,52
246,212,210,161,106,232,65,32,169,161,169,254
84,8,107,255,11,172,0,190,197,5,8,51
152,4,45,191,76,65,252,192,197,225,226,231
119,74,98,251,210,201,49,62,97,129,171,188
214,192,153,214,206,192,142,138,146,174,135,129
249,241,240,102,54,53,225,153,159,222,179,173
234,251,255,119,221,249,255,160,163,127,143,163
255,163,184,247,214,208,252,60,128,130,29,48
10,65,88,75,131,120,255,150,54,228,215,208
14,5,15,23,11,59,52,25,72,147,136,162
251,246,243,254,176,106,54,214,231,93,108,137
197,95,252,239,220,249,50,62,66,121,84,161
124,243,160,180,248,200,255,117,216,255,69,181
49,180,242,0,0,255,2,84,146,248,207,64
79,0,0,217,206,214,48,52,55,174,139,112
255,87,101,255,219,21,138,111,223,168,225,12
228,244,243,161,219,241,113,213,228,0,182,188
240,204,176,185,125,96,240,161,96,245,77,61
233,221,212,0,0,0,233,221,212,144,0,32
173,167,167,211,211,203,211,117,6,159,43,0
174,56,139,93,241,93,233,131,216,249,180,246
247,227,217,249,199,228,198,216,213,254,237,207
101,70,62,170,214,160,220,186,169,210,229,208
208,17,16,10,10,0,168,187,176,235,232,224
152,135,128,255,255,255,19,41,42,231,222,217
243,236,218,196,172,149,148,85,61,255,203,164
92,78,78,152,134,134,209,208,208,0,0,0
93,89,175,160,114,190,190,129,182,227,144,200
233,86,112,179,66,112,113,55,112,67,47,112
148,223,230,235,220,199,181,238,203,252,185,181
254,239,222,218,227,230,223,218,205,110,109,110
22,121,111,124,183,175,202,222,223,156,168,158
189,198,217,82,104,143,227,231,241,115,145,200
219,164,14,75,90,32,120,125,18,126,110,19
7,218,192,23,24,16,214,223,224,206,35,128
254,222,0,180,248,200,106,184,238,168,217,248
246,169,112,240,218,192,238,120,64,92,95,48
251,231,224,249,228,208,236,192,176,156,57,64
249,184,177,248,71,145,87,219,216,37,56,142
31,53,65,82,137,181,175,216,242,237,242,243
251,229,192,248,131,121,208,230,240,76,93,112
94,55,109,189,151,203,243,234,192,116,112,128
248,229,230,170,241,245,81,185,205,58,86,115
227,232,240,130,128,127,65,71,84,229,215,190
251,192,192,251,108,144,251,141,160,251,84,144
183,161,166,193,194,173,239,213,147,237,193,187
161,175,160,247,237,208,151,12,16,148,115,96
0,0,255,75,123,245,121,169,245,194,226,245
138,226,224,246,195,36,58,163,160,247,211,48
0,0,0,244,31,78,251,251,251,255,194,199
243,227,226,116,17,47,12,12,30,27,46,60
249,249,64,245,12,160,67,221,226,234,197,176
20,0,5,70,64,51,126,124,115,187,196,194
197,229,165,152,182,110,249,216,118,251,227,157
251,184,15,251,238,15,197,152,175,127,74,164
43,69,96,225,231,224,106,164,176,47,109,128
71,72,74,212,151,150,220,174,150,219,202,192
186,141,128,240,217,208,223,168,163,226,176,128
255,255,245,249,249,251,253,244,227,181,159,132
235,231,208,211,165,80,18,17,16,208,17,16
81,167,173,241,237,227,247,167,191,220,210,216
1,58,32,212,214,207,83,111,22,63,65,34
234,234,234,188,148,118,172,186,173,199,161,155
76,61,64,189,181,192,200,180,208,246,238,240
172,142,96,233,218,196,116,158,178,189,142,131
7,4,10,171,5,82,177,117,255,239,235,226
248,111,21,250,194,24,222,179,173,245,22,99
254,212,63,43,184,179,225,81,175,190,215,216
197,227,242,168,206,233,238,214,211,226,156,180
39,35,31,222,0,1,200,101,27,254,218,21
87,221,243,20,194,221,161,247,161,199,249,84
21,27,37,3,70,135,219,232,225,225,0,50
255,101,132,171,232,230,240,215,217,65,181,175
225,236,240,84,162,210,169,206,232,0,58,100
0,104,132,5,61,87,242,241,239,151,188,199
25,102,176,115,217,240,247,179,1,235,119,62
0,224,145,0,115,92,193,217,183,229,162,152
154,118,165,177,159,249,200,157,216,230,222,211
110,53,98,223,177,96,52,88,110,209,141,150
200,244,249,127,229,240,81,59,65,248,56,57
121,128,138,241,230,200,220,220,208,211,186,177
66,2,100,92,3,140,27,23,52,137,111,188
0,71,143,255,93,0,42,35,31,216,225,231
176,210,218,202,178,159,125,161,191,47,74,96
241,236,228,203,118,102,169,61,73,234,185,150
51,63,99,113,92,140,215,212,221,131,139,194
228,229,232,83,86,90,77,0,17,75,68,60
255,224,174,245,99,26,162,171,206,255,163,3
225,161,64,83,34,0,239,207,160,145,65,16
28,155,142,15,30,100,83,223,209,80,101,91
108,106,97,237,228,227,108,106,97,192,192,192
25,2,4,255,137,118,203,78,71,255,203,164
249,241,240,222,179,173,160,135,125,37,35,43
0,226,211,55,166,160,144,205,208,255,254,168
211,244,251,157,227,246,89,215,238,83,223,209
147,233,190,244,177,140,235,238,241,59,151,120
146,121,79,221,202,178,195,176,144,241,236,228
251,221,0,233,162,0,179,40,0,127,0,0
57,19,6,241,206,212,113,0,25,249,204,211
255,219,21,2,3,1,181,161,151,243,245,249
146,141,137,255,136,130,255,163,132,228,230,155
59,112,125,255,184,93,255,84,18,3,10,4
244,242,235,228,2,27,255,219,21,63,94,152
240,156,162,178,196,203,153,157,160,243,243,231
177,212,224,175,193,208,28,63,96,11,19,32
1,222,230,255,102,233,255,84,18,251,246,8
250,165,144,180,57,48,251,229,224,242,138,128
143,160,31,29,116,27,139,205,80,222,217,62
189,240,214,255,210,148,247,235,219,243,160,137
0,234,217,0,196,176,19,139,131,52,83,81
151,12,16,191,202,208,71,68,64,115,133,128
171,234,124,242,227,76,178,215,218,225,81,175
244,247,240,191,210,208,54,137,128,98,204,192
237,208,192,200,98,109,179,192,174,188,136,128
240,229,208,238,202,201,250,57,128,249,0,103
217,89,128,99,170,192,249,155,69,40,78,96
255,206,19,136,7,11,246,81,86,0,146,146
124,156,171,232,203,177,254,236,195,51,58,68
247,212,224,253,122,192,122,215,240,68,200,224
11,9,9,68,68,76,140,140,140,214,214,214
217,193,187,154,177,154,82,88,77,9,10,14
230,183,148,184,221,214,224,235,229,173,151,135
22,121,111,173,201,197,108,176,168,16,86,79
11,28,72,236,213,187,255,255,255,113,1,23
242,214,192,229,185,144,215,155,112,253,219,216
241,228,136,1,185,204,243,185,223,211,233,231
249,233,208,219,135,128,163,0,82,38,22,31
162,196,224,247,203,45,82,104,143,130,164,227
82,58,40,34,130,128,191,99,54,237,241,242
159,217,208,247,201,192,243,76,80,58,167,160
