white,olive,dark_brown,summer,winter,autumn,spring,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4
1,0,0,0,0,0,1,351,48,94,18,10,98,160,19,89,348,23,85
1,0,0,1,0,0,0,355,22,91,7,11,93,0,10,64,339,14,40
1,0,0,0,0,0,1,37,21,98,138,27,97,178,31,91,350,32,100
1,0,0,1,0,0,0,198,95,37,190,87,71,174,49,90,186,13,96
1,0,0,1,0,0,0,13,12,91,260,3,74,203,6,56,51,3,93
0,0,1,0,1,0,0,233,90,19,233,100,40,240,100,100,196,44,89
0,1,0,0,0,1,0,39,65,71,45,15,96,162,53,15,39,55,84
1,0,0,0,1,0,0,209,88,63,207,83,28,202,76,75,195,21,88
0,0,1,0,0,0,1,174,81,95,50,94,97,325,85,98,358,91,96
0,1,0,0,0,1,0,80,86,33,81,81,71,66,49,97,90,83,60
0,1,0,0,0,1,0,38,9,96,20,30,89,17,61,64,14,43,76
1,0,1,0,0,0,1,353,22,73,7,32,99,152,21,90,176,33,36
1,0,0,0,1,0,0,209,59,62,209,50,69,217,66,45,189,15,90
0,0,1,0,0,0,1,201,7,97,190,43,80,15,48,100,51,21,94
0,0,1,1,0,0,0,165,20,93,175,77,93,331,67,96,230,32,44
0,1,0,0,0,1,0,26,12,89,26,24,82,26,51,64,26,51,32
0,0,1,0,0,0,1,355,24,100,163,21,90,34,20,98,187,38,91
1,0,0,0,0,0,1,201,26,100,278,21,90,350,17,100,65,9,95
0,0,1,0,0,0,1,17,47,83,1,25,96,11,25,92,5,45,91
0,1,0,0,0,0,1,50,26,100,1,25,96,178,37,82,255,30,69
1,0,0,1,0,0,0,39,7,93,22,7,86,15,19,80,214,7,80
1,0,0,0,0,0,1,44,6,94,350,44,98,345,57,98,346,73,98
0,0,1,0,0,0,1,138,91,44,52,100,100,70,63,87,109,7,91
1,0,1,0,1,0,0,266,55,55,161,29,100,266,54,91,331,71,99
1,0,0,0,1,0,0,200,54,89,204,93,83,206,97,62,210,100,38
1,0,0,1,0,0,0,138,13,100,160,29,84,181,83,50,188,77,69
1,0,0,0,1,0,0,349,23,100,9,16,97,341,62,98,349,78,51
1,1,0,0,0,0,1,142,83,40,174,82,71,132,31,92,147,85,65
1,0,0,1,0,0,0,303,24,93,304,44,76,186,20,98,181,66,68
0,1,0,0,0,0,1,95,62,73,129,18,85,127,43,32,97,43,79
0,1,0,0,1,0,0,52,44,97,173,29,91,177,65,84,49,72,88
1,0,1,0,0,0,1,186,59,63,17,6,96,357,45,90,200,52,38
1,0,0,0,0,0,1,351,23,97,43,12,94,282,15,87,282,5,94
0,1,0,0,0,1,0,54,63,72,3,80,87,31,100,100,16,100,100
1,0,0,0,0,0,1,34,24,74,190,3,91,93,13,66,0,21,89
0,1,0,0,1,0,0,36,11,92,334,33,93,330,100,100,331,84,66
0,0,1,0,1,0,0,330,16,83,283,28,82,295,38,13,311,44,38
1,0,0,0,1,0,0,43,13,90,182,99,60,202,100,41,347,86,86
1,0,0,0,0,1,0,208,27,78,220,1,93,48,82,98,234,38,32
